Feature,Accuracy,Precision,Recall
"('pho1', 'pho2', 'pro4', 'art2', 'art3')",0.506768558951965,0.3122154779969651,0.6485421591804571
"('pho1', 'pho2', 'pro4', 'art2', 'art4')",0.5141921397379913,0.30971337579617836,0.6130811662726556
"('pho1', 'pho2', 'pro4', 'art3', 'art4')",0.509170305676856,0.2912579957356077,0.5382190701339638
"('pho1', 'pho2', 'art2', 'art3', 'art4')",0.5152838427947598,0.31505250875145857,0.6382978723404256
"('pho1', 'pho3', 'pho4', 'pro1', 'pro4')",0.5135371179039301,0.2837167343256653,0.49566587864460204
"('pho1', 'pho3', 'pho4', 'pro1', 'art1')",0.5058951965065502,0.2876068376068376,0.5303388494877856
"('pho1', 'pho3', 'pho4', 'pro1', 'art2')",0.5360262008733624,0.3228476821192053,0.6146572104018913
"('pho1', 'pho3', 'pho4', 'pro1', 'art3')",0.5104803493449782,0.2898488120950324,0.52876280535855
"('pho1', 'pho3', 'pho4', 'pro1', 'art4')",0.5034934497816594,0.28199566160520606,0.512214342001576
"('pho1', 'pho3', 'pho4', 'pro2', 'pro4')",0.5056768558951965,0.2787905735882614,0.4940898345153664
"('pho1', 'pho3', 'pho4', 'pro2', 'art1')",0.503056768558952,0.29507529507529506,0.5713159968479118
"('pho1', 'pho3', 'pho4', 'pro2', 'art2')",0.5102620087336245,0.31454683929931454,0.6509062253743105
"('pho1', 'pho3', 'pho4', 'pro3', 'pro4')",0.5056768558951965,0.27839643652561247,0.4925137903861308
"('pho1', 'pho3', 'pho4', 'pro3', 'art1')",0.5100436681222708,0.30158730158730157,0.5839243498817966
"('pho1', 'pho3', 'pho4', 'pro3', 'art2')",0.5139737991266375,0.319365798414496,0.6666666666666666
"('pho1', 'pho3', 'pho4', 'pro3', 'art3')",0.5010917030567685,0.294331983805668,0.5728920409771474
"('pho1', 'pho3', 'pho4', 'pro4', 'art1')",0.5111353711790393,0.2857773851590106,0.5098502758077226
"('pho1', 'pho3', 'pho4', 'pro4', 'art2')",0.5253275109170306,0.31568228105906315,0.6107171000788022
"('pho1', 'pho3', 'pho4', 'pro4', 'art3')",0.5168122270742358,0.286231884057971,0.4980299448384555
"('pho1', 'pho3', 'pho4', 'pro4', 'art4')",0.5048034934497817,0.2779012894619831,0.4925137903861308
"('pho1', 'pho3', 'pho4', 'art1', 'art2')",0.5200873362445415,0.3277715980719318,0.6966115051221434
"('pho1', 'pho3', 'pho4', 'art1', 'art3')",0.5085152838427948,0.3008921330089213,0.5847123719464145
"('pho1', 'pho3', 'pho4', 'art1', 'art4')",0.5131004366812227,0.29244060475161987,0.5334909377462569
"('pho1', 'pho3', 'pho4', 'art2', 'art3')",0.518995633187773,0.3228376327769347,0.6706067769897557
"('pho1', 'pho3', 'pho4', 'art2', 'art4')",0.5283842794759825,0.31429762401000416,0.5941686367218282
"('pho1', 'pho3', 'pho4', 'art3', 'art4')",0.503056768558952,0.28306764325721673,0.5177304964539007
"('pho1', 'pho3', 'pro1', 'pro4', 'art1')",0.5028384279475983,0.27639751552795033,0.4909377462568952
