feature,p_HC_DP,p_HC_DP
skewness BBEon_16,0.021127,-0.371616
skewness BBEon_17,0.133229,-0.24607
skewness BBEon_18,0.129182,-0.252534
skewness BBEon_19,0.032732,-0.305926
skewness BBEon_20,0.188413,-0.163832
skewness BBEon_21,0.686143,-0.048693
skewness BBEon_22,0.012565,-0.4621
skewness MFCCon_1,0.088468,-0.301572
skewness MFCCon_2,0.000913,-0.24534
skewness MFCCon_3,0.291968,0.155119
skewness MFCCon_4,0.000863,-0.472357
skewness MFCCon_5,0.002639,0.506908
skewness MFCCon_6,0.387779,-0.143393
skewness MFCCon_7,0.971557,0.056059
skewness MFCCon_8,0.518945,0.120866
skewness MFCCon_9,0.757311,0.026131
skewness MFCCon_10,0.370602,0.212153
skewness MFCCon_11,0.26974,-0.207082
skewness MFCCon_12,0.427461,-0.148757
skewness DMFCCon_1,0.883461,-0.096145
skewness DMFCCon_2,0.073981,0.217666
skewness DMFCCon_3,0.3357,-0.113512
skewness DMFCCon_4,0.277697,-0.195443
skewness DMFCCon_5,0.166776,0.107596
skewness DMFCCon_6,0.16316,-0.235452
skewness DMFCCon_7,0.539172,0.238369
skewness DMFCCon_8,0.291968,-0.160836
skewness DMFCCon_9,0.892851,0.073796
skewness DMFCCon_10,0.389959,0.027029
skewness DMFCCon_11,0.883461,0.165184
skewness DMFCCon_12,0.0218,0.412677
skewness DDMFCCon_1,0.174189,0.301081
skewness DDMFCCon_2,0.239344,0.128096
skewness DDMFCCon_3,0.128186,-0.197793
skewness DDMFCCon_4,0.01061,0.366864
skewness DDMFCCon_5,0.008135,-0.519012
skewness DDMFCCon_6,0.245731,0.204596
skewness DDMFCCon_7,0.778495,-0.074083
skewness DDMFCCon_8,0.302989,-0.065827
skewness DDMFCCon_9,0.769395,-0.027885
skewness DDMFCCon_10,0.048503,-0.408941
skewness DDMFCCon_11,0.654389,0.224183
skewness DDMFCCon_12,0.274204,0.114219
skewness BBEoff_1,0.217915,0.197368
skewness BBEoff_2,0.056704,-0.371139
skewness BBEoff_3,0.172937,-0.242743
skewness BBEoff_4,0.927398,-0.019653
skewness BBEoff_5,0.187086,-0.261609
skewness BBEoff_6,0.020044,-0.423456
skewness BBEoff_7,0.144866,-0.260063
skewness BBEoff_8,0.062603,-0.3217
skewness BBEoff_9,0.025982,-0.392195
skewness BBEoff_10,0.202072,-0.237881
skewness BBEoff_11,0.908533,-0.032979
skewness BBEoff_12,0.8306,-0.066868
skewness BBEoff_13,0.119482,-0.316836
skewness BBEoff_14,0.295611,-0.218422
skewness BBEoff_15,0.206307,-0.256681
skewness BBEoff_16,0.032732,-0.354847
skewness BBEoff_17,0.106013,-0.309315
skewness BBEoff_18,0.242523,-0.269009
skewness BBEoff_19,0.072079,-0.279617
skewness BBEoff_20,0.392148,-0.103559
skewness BBEoff_21,0.927398,-0.033715
skewness BBEoff_22,0.000851,-0.691911
skewness MFCCoff_1,0.030231,-0.229653
skewness MFCCoff_2,0.189748,-0.005966
skewness MFCCoff_3,0.011747,0.18067
skewness MFCCoff_4,0.00289,-0.312191
skewness MFCCoff_5,0.002505,0.526392
skewness MFCCoff_6,0.075923,-0.257524
skewness MFCCoff_7,0.444504,0.206517
skewness MFCCoff_8,0.228451,0.091959
skewness MFCCoff_9,0.242523,-0.180242
skewness MFCCoff_10,0.416705,0.196823
skewness MFCCoff_11,0.202072,-0.248508
skewness MFCCoff_12,0.880335,0.018881
skewness DMFCCoff_1,0.510767,-0.016767
skewness DMFCCoff_2,0.372723,0.062984
skewness DMFCCoff_3,0.46361,0.048859
skewness DMFCCoff_4,0.347769,0.170043
skewness DMFCCoff_5,0.113038,-0.236344
skewness DMFCCoff_6,0.185765,0.255005
skewness DMFCCoff_7,0.48564,-0.212765
skewness DMFCCoff_8,0.270742,0.2403
skewness DMFCCoff_9,0.691979,0.021058
skewness DMFCCoff_10,0.310489,-0.075848
skewness DMFCCoff_11,0.132209,0.321968
skewness DMFCCoff_12,0.02494,-0.421354
skewness DDMFCCoff_1,0.209166,0.22751
skewness DDMFCCoff_2,0.245731,0.061878
skewness DDMFCCoff_3,0.013432,-0.342125
skewness DDMFCCoff_4,0.017831,0.338609
skewness DDMFCCoff_5,0.003876,-0.530403
skewness DDMFCCoff_6,0.048054,0.355486
skewness DDMFCCoff_7,0.353906,-0.192486
skewness DDMFCCoff_8,0.081307,-0.283191
skewness DDMFCCoff_9,0.606538,0.073778
skewness DDMFCCoff_10,0.66875,-0.133516
skewness DDMFCCoff_11,0.796784,0.143426
skewness DDMFCCoff_12,0.778495,-0.022178
skewness F1,0.242523,-0.243158
skewness DF1,0.601012,0.101819
skewness DDF1,0.093777,0.327188
skewness F2,0.911674,0.004214
skewness DF2,0.47089,-0.048541
skewness DDF2,0.421266,-0.113078
kurtosis BBEon_1,0.181845,0.320692
kurtosis BBEon_2,0.539172,0.204594
kurtosis BBEon_3,0.899119,0.126567
kurtosis BBEon_4,0.518436,-0.001409
kurtosis BBEon_5,0.571037,-0.033405
kurtosis BBEon_6,0.200675,-0.206672
kurtosis BBEon_7,0.171691,-0.281053
kurtosis BBEon_8,0.145961,-0.244157
kurtosis BBEon_9,0.355966,-0.067475
kurtosis BBEon_10,0.784578,-0.060903
kurtosis BBEon_11,0.867849,0.052334
kurtosis BBEon_12,0.237766,0.30317
kurtosis BBEon_13,0.376987,0.267046
kurtosis BBEon_14,0.263908,0.241486
kurtosis BBEon_15,0.152666,0.187646
kurtosis BBEon_16,0.321965,0.110284
kurtosis BBEon_17,0.407672,0.241158
kurtosis BBEon_18,0.815186,0.026069
kurtosis BBEon_19,0.368489,-0.006755
kurtosis BBEon_20,0.490611,-0.004736
kurtosis BBEon_21,0.955769,0.036217
kurtosis BBEon_22,0.00723,-0.497252
kurtosis MFCCon_1,0.020688,0.300813
kurtosis MFCCon_2,0.000107,0.036252
kurtosis MFCCon_3,0.000369,0.287722
kurtosis MFCCon_4,0.001144,0.25647
kurtosis MFCCon_5,0.000888,0.311597
kurtosis MFCCon_6,0.007061,0.30351
kurtosis MFCCon_7,0.013284,0.285378
kurtosis MFCCon_8,0.001128,0.236252
kurtosis MFCCon_9,0.002472,0.325329
kurtosis MFCCon_10,0.002505,0.214244
kurtosis MFCCon_11,0.016359,0.288811
kurtosis MFCCon_12,0.001922,0.170877
kurtosis DMFCCon_1,0.054678,0.305047
kurtosis DMFCCon_2,0.000706,0.128052
kurtosis DMFCCon_3,0.007671,0.270562
kurtosis DMFCCon_4,0.006732,0.233648
kurtosis DMFCCon_5,0.004127,0.267719
kurtosis DMFCCon_6,0.010021,0.303292
kurtosis DMFCCon_7,0.01215,0.241343
kurtosis DMFCCon_8,0.008524,0.251518
kurtosis DMFCCon_9,0.003459,0.270434
kurtosis DMFCCon_10,0.014832,0.256534
kurtosis DMFCCon_11,0.022728,0.305125
kurtosis DMFCCon_12,0.019833,0.192786
kurtosis DDMFCCon_1,0.037173,0.288385
kurtosis DDMFCCon_2,0.001974,0.154738
kurtosis DDMFCCon_3,0.003459,0.249708
kurtosis DDMFCCon_4,0.006977,0.227759
kurtosis DDMFCCon_5,0.007061,0.252709
kurtosis DDMFCCon_6,0.019833,0.294136
kurtosis DDMFCCon_7,0.006043,0.27945
kurtosis DDMFCCon_8,0.010021,0.253935
kurtosis DDMFCCon_9,0.001549,0.269611
kurtosis DDMFCCon_10,0.003503,0.325373
kurtosis DDMFCCon_11,0.036814,0.296936
kurtosis DDMFCCon_12,0.051276,0.218986
kurtosis BBEoff_1,0.229985,0.298985
kurtosis BBEoff_2,0.019418,0.4982
kurtosis BBEoff_3,0.133229,0.30975
kurtosis BBEoff_4,0.603772,0.00948
kurtosis BBEoff_5,0.892851,0.126502
kurtosis BBEoff_6,0.176714,-0.292899
kurtosis BBEoff_7,0.284772,-0.229172
kurtosis BBEoff_8,0.498119,-0.195746
kurtosis BBEoff_9,0.623248,-0.118389
kurtosis BBEoff_10,0.908533,-0.048227
kurtosis BBEoff_11,0.176714,0.176433
kurtosis BBEoff_12,0.065447,0.229962
kurtosis BBEoff_13,0.94315,0.033125
kurtosis BBEoff_14,0.456392,0.066171
kurtosis BBEoff_15,0.210606,0.153982
kurtosis BBEoff_16,0.568348,-0.117807
kurtosis BBEoff_17,0.905393,-0.101618
kurtosis BBEoff_18,0.584574,-0.210127
kurtosis BBEoff_19,0.106872,-0.164995
kurtosis BBEoff_20,0.407672,-0.030332
kurtosis BBEoff_21,0.96524,-0.010178
kurtosis BBEoff_22,0.001008,-0.713264
kurtosis MFCCoff_1,0.073343,0.123187
kurtosis MFCCoff_2,0.002377,-0.027058
kurtosis MFCCoff_3,0.001296,0.088974
kurtosis MFCCoff_4,0.005827,0.11356
kurtosis MFCCoff_5,0.092235,0.253145
kurtosis MFCCoff_6,0.034047,0.247633
kurtosis MFCCoff_7,0.01037,0.249901
kurtosis MFCCoff_8,0.023689,0.155369
kurtosis MFCCoff_9,0.01516,0.147517
kurtosis MFCCoff_10,0.003122,0.192386
kurtosis MFCCoff_11,0.002196,0.231367
kurtosis MFCCoff_12,0.002744,0.274707
kurtosis DMFCCoff_1,0.042926,0.118834
kurtosis DMFCCoff_2,0.003329,-0.061683
kurtosis DMFCCoff_3,0.004448,0.100142
kurtosis DMFCCoff_4,0.010253,0.061312
